2017-12-23 01:36:22.7550 | ERROR | Users.Controllers.UsersController | ERROR request DELETE with ID = 3. Not found ID
2017-12-23 01:36:22.7550 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 555
2017-12-23 01:36:22.7550 | ERROR | Users.Controllers.UsersController | ERROR request DELETE with ID = 555. Not found ID
2017-12-23 01:36:22.7550 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Request PUT with ID = 1 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:37:43.6124 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 1 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1.
2017-12-23 01:37:43.6264 | INFO | Users.Controllers.UsersController | Request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:37:43.6264 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1.
2017-12-23 01:37:43.6430 | INFO | Users.Controllers.UsersController | Request PUT with ID = 999 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:37:43.6430 | INFO | Users.Controllers.UsersController | ABORTED request PUT with ID = 999 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1. Bad ID and data.ID.
2017-12-23 01:37:43.6761 | INFO | Users.Controllers.UsersController | Request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:37:43.6761 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1.
2017-12-23 01:37:43.6761 | INFO | Users.Controllers.UsersController | Request PUT with ID = 3 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
